[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/ng_odo_v2: 8329 cells, 8329 traces, max_area=0, max_sect=0, c_local=739
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 8329, "frontier": 8105, "best_score": 5838, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T22:13:10", "elapsed_s": 1020, "cells": 19382, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1610900, "sps": 1579, "stall_flat_windows": 0, "c_local": 760, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0518}
[go_explore_solve] {"t": "2026-08-23T22:14:10", "elapsed_s": 1080, "cells": 19844, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1703600, "sps": 1577, "stall_flat_windows": 0, "c_local": 761, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0558}
[go_explore_solve] {"t": "2026-08-23T22:15:10", "elapsed_s": 1140, "cells": 20339, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1795780, "sps": 1575, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0533}
[go_explore_solve] {"t": "2026-08-23T22:16:10", "elapsed_s": 1200, "cells": 20855, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1891120, "sps": 1576, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:17:10", "elapsed_s": 1260, "cells": 21288, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1986610, "sps": 1577, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:18:10", "elapsed_s": 1320, "cells": 21863, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2083380, "sps": 1578, "stall_flat_windows": 0, "c_local": 763, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0492}
[go_explore_solve] {"t": "2026-08-23T22:19:10", "elapsed_s": 1380, "cells": 22332, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2180570, "sps": 1580, "stall_flat_windows": 0, "c_local": 763, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:20:10", "elapsed_s": 1440, "cells": 22736, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2278230, "sps": 1582, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0731}
[go_explore_solve] {"t": "2026-08-23T22:21:10", "elapsed_s": 1500, "cells": 23243, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2376050, "sps": 1584, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:22:10", "elapsed_s": 1560, "cells": 23694, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2474210, "sps": 1586, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:23:10", "elapsed_s": 1620, "cells": 24195, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2572270, "sps": 1588, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:24:10", "elapsed_s": 1680, "cells": 24684, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2670590, "sps": 1590, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:25:10", "elapsed_s": 1740, "cells": 25088, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2768860, "sps": 1591, "stall_flat_windows": 0, "c_local": 764, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:26:10", "elapsed_s": 1800, "cells": 25507, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2866940, "sps": 1593, "stall_flat_windows": 0, "c_local": 765, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.079}
