[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 1, "frontier": 1, "best_score": 0, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T10:11:02", "elapsed_s": 1020, "cells": 10366, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 990688, "sps": 971, "stall_flat_windows": 0, "c_local": 737, "c_local_band": 25, "c_local_delta": 4, "c_local_band_delta": 0, "c_local_elasticity": 0.1183}
[go_explore_solve] {"t": "2026-08-23T10:12:02", "elapsed_s": 1080, "cells": 10833, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1050256, "sps": 972, "stall_flat_windows": 0, "c_local": 738, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0308}
[go_explore_solve] {"t": "2026-08-23T10:13:02", "elapsed_s": 1140, "cells": 11250, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1109736, "sps": 973, "stall_flat_windows": 0, "c_local": 739, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0359}
[go_explore_solve] {"t": "2026-08-23T10:14:02", "elapsed_s": 1200, "cells": 11593, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1169344, "sps": 974, "stall_flat_windows": 0, "c_local": 740, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.045}
[go_explore_solve] {"t": "2026-08-23T10:15:02", "elapsed_s": 1260, "cells": 11988, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1228896, "sps": 975, "stall_flat_windows": 0, "c_local": 740, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:16:02", "elapsed_s": 1320, "cells": 12307, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1287096, "sps": 975, "stall_flat_windows": 0, "c_local": 742, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1028}
[go_explore_solve] {"t": "2026-08-23T10:17:02", "elapsed_s": 1380, "cells": 12586, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1351816, "sps": 979, "stall_flat_windows": 0, "c_local": 744, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1201}
[go_explore_solve] {"t": "2026-08-23T10:18:02", "elapsed_s": 1440, "cells": 12941, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1415048, "sps": 983, "stall_flat_windows": 0, "c_local": 744, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:19:02", "elapsed_s": 1500, "cells": 13233, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1474784, "sps": 983, "stall_flat_windows": 0, "c_local": 745, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0602}
[go_explore_solve] {"t": "2026-08-23T10:20:02", "elapsed_s": 1560, "cells": 13520, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1530056, "sps": 981, "stall_flat_windows": 0, "c_local": 747, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1249}
