generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,4.615082740783691,0.022344442084431648,18.385976791381836,1.777540683746338,0.9296875,128,119,60
1,3.8588743209838867,0.04628013074398041,15.27258014678955,1.7506356239318848,1.0,116,119,60
2,3.94891095161438,0.028577327728271484,15.704426765441895,1.7209069728851318,0.2631578947368421,266,70,60
3,4.311805725097656,0.03131050616502762,17.14390754699707,1.6902930736541748,0.25888324873096447,197,51,60
4,5.6732940673828125,-0.08419378846883774,23.045272827148438,1.6543073654174805,0.15789473684210525,285,45,60
5,7.072157382965088,0.04541290923953056,28.114927291870117,1.6268361806869507,0.06457564575645756,542,35,60
6,10.661092758178711,-0.07660295069217682,42.95707321166992,1.5986354351043701,0.045112781954887216,665,30,60
7,6.676558494567871,0.04519806057214737,26.534706115722656,1.626704216003418,0.009174311926605505,654,6,60
8,7.382571697235107,-0.12076816707849503,30.02627182006836,1.6294529438018799,0.019169329073482427,626,12,60
9,7.4432196617126465,-0.056576959788799286,30.00885772705078,1.6199195384979248,0.009966777408637873,602,6,60
10,6.639076232910156,0.03062507137656212,26.445438385009766,1.59961998462677,0.004830917874396135,621,3,60
11,7.210612773895264,-0.06235557794570923,29.101707458496094,1.5679607391357422,0.012048192771084338,581,7,60
12,7.8693766593933105,-0.01628296822309494,31.552417755126953,1.535884976387024,0.008333333333333333,600,5,60
13,8.21950912475586,0.006645589135587215,32.858524322509766,1.5140405893325806,0.0196078431372549,561,11,60
14,9.672870635986328,0.07314547896385193,38.40751647949219,1.467484474182129,0.0330188679245283,424,14,60
15,10.665623664855957,0.0267693642526865,42.56538772583008,1.4609476327896118,0.01016260162601626,492,5,60
16,10.15540599822998,-0.04248534515500069,40.798866271972656,1.3998260498046875,0.03125,416,13,60
17,11.2157621383667,-0.10380500555038452,45.28572082519531,1.4025158882141113,0.03414634146341464,410,14,60
18,10.456830978393555,-0.001535790041089058,41.83980178833008,1.3352936506271362,0.0364741641337386,329,12,60
19,11.727066993713379,-0.005011221393942833,46.936344146728516,1.3285984992980957,0.03881278538812785,438,17,60
20,11.878316879272461,0.04164058342576027,47.35492706298828,1.320188283920288,0.03380281690140845,355,12,60
21,10.303220748901367,-0.04020228236913681,41.38335418701172,1.3385438919067383,0.06920415224913495,289,20,60
22,13.073586463928223,0.005373548716306686,52.2833251953125,1.3540347814559937,0.029508196721311476,305,9,60
23,11.876599311828613,0.0656266063451767,47.25395965576172,1.3319077491760254,0.0622568093385214,257,16,60
24,13.250572204589844,0.13477005064487457,52.47350311279297,1.2862114906311035,0.06611570247933884,242,16,60
25,12.689709663391113,0.05620560795068741,50.54414367675781,1.2730035781860352,0.059574468085106386,235,14,60
