generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,5.3052568435668945,-0.06211189925670624,21.48091697692871,1.777597188949585,0.875,128,112,60
1,4.114619731903076,-0.0789734497666359,16.795116424560547,1.7604631185531616,1.0,89,127,60
2,4.572272777557373,0.017474979162216187,18.23461151123047,1.7377241849899292,0.4144144144144144,222,92,60
3,3.824723482131958,-0.058160681277513504,15.548968315124512,1.704759120941162,0.2680851063829787,235,63,60
4,4.472835063934326,0.017892062664031982,17.838485717773438,1.688002109527588,0.3352601156069364,173,58,60
5,7.494738578796387,0.19396726787090302,29.212535858154297,1.6590622663497925,0.128,375,48,60
6,10.094378471374512,0.07832088321447372,40.06513214111328,1.6266580820083618,0.03571428571428571,812,29,60
7,5.975839138031006,0.029435599222779274,23.79338836669922,1.660441517829895,0.009259259259259259,648,6,60
8,5.533609867095947,-0.01761426404118538,22.212696075439453,1.6505426168441772,0.014975041597337771,601,9,60
9,8.244215965270996,0.05533953383564949,32.76458740234375,1.6346352100372314,0.014218009478672985,633,9,60
10,7.7699995040893555,0.060797691345214844,30.844085693359375,1.6417922973632812,0.019469026548672566,565,11,60
11,7.350438594818115,-0.06917513161897659,29.68599510192871,1.629459261894226,0.023131672597864767,562,13,60
12,7.176647186279297,-0.04702392965555191,28.903175354003906,1.6220484972000122,0.013215859030837005,454,6,60
13,8.393814086914062,-0.04293220490217209,33.7578010559082,1.5989389419555664,0.01276595744680851,470,6,60
14,8.366554260253906,-0.045133233070373535,33.65619659423828,1.5894701480865479,0.017582417582417582,455,8,60
15,9.544055938720703,0.043803051114082336,38.007328033447266,1.54470956325531,0.03263403263403263,429,14,60
16,11.886139869689941,0.011681657284498215,47.50632095336914,1.5095314979553223,0.020454545454545454,440,9,60
17,8.897782325744629,-0.04546481370925903,35.780914306640625,1.4806151390075684,0.01288659793814433,388,5,60
18,8.55620002746582,-0.06941564381122589,34.50813293457031,1.4438066482543945,0.036036036036036036,333,12,60
19,10.803892135620117,0.0500967875123024,43.02372741699219,1.4656004905700684,0.028795811518324606,382,11,60
20,11.21696662902832,0.08751659095287323,44.52315139770508,1.4398276805877686,0.011627906976744186,344,4,60
21,10.55829906463623,0.035694774240255356,42.10022735595703,1.4376493692398071,0.026578073089700997,301,8,60
22,8.704998016357422,-0.13296115398406982,35.36027526855469,1.402965784072876,0.040955631399317405,293,12,60
23,10.21434497833252,0.04619956016540527,40.681095123291016,1.3472487926483154,0.024305555555555556,288,7,60
24,11.682924270629883,0.07242163270711899,46.45237731933594,1.319110631942749,0.03088803088803089,259,8,60
25,12.530845642089844,0.006917817518115044,50.106666564941406,1.3169050216674805,0.04868913857677903,267,13,60
26,10.170845031738281,0.007481112144887447,40.665618896484375,1.307267665863037,0.05150214592274678,233,12,60
27,9.689176559448242,-0.05648241192102432,38.99628448486328,1.3087902069091797,0.053811659192825115,223,12,60
28,8.612159729003906,-0.0437660813331604,34.63906478881836,1.284847617149353,0.0761904761904762,210,16,60
29,9.177922248840332,-0.024675555527210236,36.82774353027344,1.2509491443634033,0.0821917808219178,219,18,60
30,12.006246566772461,0.11255589872598648,47.593658447265625,1.2373199462890625,0.06222222222222222,225,14,60
31,11.497580528259277,0.057008687406778336,45.78190231323242,1.2119650840759277,0.10215053763440861,186,19,60
32,10.293618202209473,0.07491391897201538,40.894371032714844,1.141479730606079,0.08823529411764706,204,18,60
33,8.48194694519043,0.02220023237168789,33.85943603515625,1.1196902990341187,0.12352941176470589,170,21,60
