generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,4.38418436050415,0.0787673071026802,17.23645782470703,1.7819414138793945,0.8778625954198473,131,115,60
1,4.255201816558838,-0.013601320795714855,17.100357055664062,1.7623069286346436,1.0,98,136,60
2,3.816575050354004,-0.037854038178920746,15.438140869140625,1.7462239265441895,0.40869565217391307,230,94,60
3,4.4935102462768555,-0.09752205014228821,18.384506225585938,1.7041351795196533,0.3076923076923077,208,64,60
4,4.247473239898682,0.022298861294984818,16.92127227783203,1.6804454326629639,0.32,175,56,60
5,8.206159591674805,0.059216536581516266,32.592247009277344,1.6313762664794922,0.066543438077634,541,36,60
6,10.071816444396973,-0.05032867193222046,40.49427032470703,1.6240630149841309,0.023952095808383235,835,20,60
7,5.813377857208252,-0.011592211201786995,23.31024932861328,1.660840392112732,0.014173228346456693,635,9,60
8,5.462613105773926,-0.07443004846572876,22.159440994262695,1.66951322555542,0.0,666,0,60
9,7.444818496704102,0.07230450958013535,29.5011043548584,1.6402467489242554,0.00641025641025641,624,4,60
10,7.512781620025635,0.022742316126823425,29.973278045654297,1.6521668434143066,0.006349206349206349,630,4,60
11,5.689888954162598,-0.030843565240502357,22.896703720092773,1.634041428565979,0.003129890453834116,639,2,60
12,6.8095011711120605,0.021060876548290253,27.165645599365234,1.634310245513916,0.0,609,0,60
13,7.125192642211914,-0.07489854097366333,28.809843063354492,1.6018693447113037,0.010398613518197574,577,6,60
14,8.742520332336426,0.11774463951587677,34.50788879394531,1.5520950555801392,0.01079136690647482,556,6,60
15,9.105281829833984,-0.05928656831383705,36.665550231933594,1.51630699634552,0.029045643153526972,482,14,60
16,8.73932933807373,0.06672751903533936,34.70060729980469,1.4995371103286743,0.0379746835443038,474,18,60
17,9.810307502746582,0.06113407015800476,39.0070915222168,1.5143431425094604,0.03,400,12,60
18,11.908807754516602,0.07799875736236572,47.33236312866211,1.4254188537597656,0.026570048309178744,414,11,60
19,12.030707359313965,0.042036816477775574,47.96467590332031,1.4256656169891357,0.026717557251908396,524,14,60
20,10.460105895996094,0.04684170335531235,41.661865234375,1.409283995628357,0.03278688524590164,366,12,60
21,15.074549674987793,0.04710972309112549,60.11682891845703,1.3927408456802368,0.06133333333333333,375,23,60
22,11.653209686279297,-0.07994826138019562,46.939453125,1.3513684272766113,0.016706443914081145,419,7,60
23,11.263227462768555,-0.03903362154960632,45.216835021972656,1.3558480739593506,0.04815864022662889,353,17,60
24,11.516114234924316,-0.07053398340940475,46.35436248779297,1.298461675643921,0.02717391304347826,368,10,60
