generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,5.158817291259766,0.014921755529940128,20.592636108398438,1.777167797088623,0.921875,128,118,60
1,4.437590599060059,0.028273867443203926,17.657264709472656,1.7502224445343018,0.8098591549295775,142,115,60
2,3.862901449203491,0.06968298554420471,15.194101333618164,1.7268481254577637,0.3181818181818182,242,77,60
3,4.2407097816467285,0.045457154512405396,16.800321578979492,1.6769754886627197,0.2983425414364641,181,54,60
4,5.878338813781738,0.0924219936132431,23.157123565673828,1.6352784633636475,0.17647058823529413,272,48,60
5,7.347141265869141,-0.0021053096279501915,29.40890121459961,1.633772373199463,0.0863157894736842,475,41,60
6,12.177433013916016,0.00910801813006401,48.67869186401367,1.6010948419570923,0.042879019908116385,653,28,60
7,8.279330253601074,0.13810408115386963,32.57073974609375,1.633723497390747,0.012461059190031152,642,8,60
8,5.855672836303711,0.060485247522592545,23.191612243652344,1.6471388339996338,0.013136288998357963,609,8,60
9,7.540077209472656,-0.048136934638023376,30.36156463623047,1.5797632932662964,0.00408997955010225,489,2,60
10,6.621209144592285,-0.0093979611992836,26.534032821655273,1.5752699375152588,0.005758157389635317,521,3,60
11,6.070681095123291,0.02105213701725006,24.210044860839844,1.5736548900604248,0.0039447731755424065,507,2,60
12,9.898490905761719,-0.004814222455024719,39.62079620361328,1.5045307874679565,0.01694915254237288,472,8,60
13,7.99518346786499,-0.14465178549289703,32.56727981567383,1.4911905527114868,0.025522041763341066,431,11,60
14,10.573638916015625,0.12008479237556458,41.82225036621094,1.4297142028808594,0.008316008316008316,481,4,60
15,9.22486400604248,0.005119774490594864,36.88902282714844,1.4516608715057373,0.010224948875255624,489,5,60
16,9.950900077819824,0.02419058233499527,39.712646484375,1.3712785243988037,0.011210762331838564,446,5,60
17,11.562071800231934,0.07857799530029297,45.942012786865234,1.3539226055145264,0.025,440,11,60
18,12.48979663848877,0.03985854983329773,49.8071174621582,1.346814513206482,0.013452914798206279,446,6,60
19,9.242831230163574,-0.020621705800294876,37.06050109863281,1.2786060571670532,0.034482758620689655,377,13,60
20,13.021444320678711,-0.01496339961886406,52.15118408203125,1.2244361639022827,0.02032520325203252,492,10,60
21,10.220792770385742,-0.11215467005968094,41.33751678466797,1.2195656299591064,0.01483679525222552,337,5,60
22,11.419313430786133,0.01884077861905098,45.60639190673828,1.1376128196716309,0.04878048780487805,287,14,60
23,10.121047973632812,-0.03872846066951752,40.64695358276367,1.139258861541748,0.03178484107579462,409,13,60
24,9.700966835021973,-0.027386168017983437,38.920654296875,1.173966884613037,0.0429042904290429,303,13,60
25,14.632966041564941,0.06154283881187439,58.294891357421875,1.1159240007400513,0.011583011583011582,518,6,60
26,13.721033096313477,-0.005979538895189762,54.9168701171875,1.0877898931503296,0.014705882352941176,408,6,60
27,12.954197883605957,0.008431419730186462,51.790626525878906,1.124253273010254,0.03205128205128205,312,10,60
