generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,5.173316478729248,-0.04142420366406441,20.871845245361328,1.7765569686889648,0.9032258064516129,124,112,60
1,3.745915412902832,0.015721971169114113,14.945510864257812,1.7587215900421143,1.0,93,134,60
2,4.501394748687744,-0.024009764194488525,18.12403106689453,1.7347925901412964,0.4511627906976744,215,97,60
3,3.939577341079712,0.031009726226329803,15.657403945922852,1.7092442512512207,0.3,210,63,60
4,4.933398246765137,-0.006762135773897171,19.778907775878906,1.6697499752044678,0.29891304347826086,184,55,60
5,7.204921245574951,-0.018625961616635323,28.907249450683594,1.6640739440917969,0.0745697896749522,523,39,60
6,11.054462432861328,-0.12202475965023041,44.70997619628906,1.642311692237854,0.02774108322324967,757,21,60
7,5.63701868057251,-0.011483192443847656,22.60689926147461,1.675537347793579,0.0124804992199688,641,8,60
8,7.753595352172852,-0.05829799175262451,31.258747100830078,1.658642292022705,0.01824212271973466,603,11,60
9,8.716516494750977,-0.0731932744383812,35.168861389160156,1.6590105295181274,0.0048,625,3,60
10,5.948078632354736,-0.062471210956573486,24.053939819335938,1.6524183750152588,0.011784511784511785,594,7,60
11,6.625943660736084,-0.02832903154194355,26.63011932373047,1.631394863128662,0.0,627,0,60
12,8.795624732971191,0.027262911200523376,35.08564376831055,1.578594446182251,0.003278688524590164,610,2,60
13,6.6912841796875,0.02588547021150589,26.672943115234375,1.5708656311035156,0.0070052539404553416,571,4,60
14,8.23491096496582,-0.03277624025940895,33.082557678222656,1.5376017093658447,0.018796992481203006,532,10,60
15,9.301565170288086,-0.09853962808847427,37.610721588134766,1.5078985691070557,0.016908212560386472,414,7,60
16,11.508846282958984,-0.007118528708815575,46.07220458984375,1.464855670928955,0.023310023310023312,429,10,60
17,11.068073272705078,0.09065689146518707,43.917877197265625,1.4208498001098633,0.024608501118568233,447,11,60
18,11.17750358581543,-0.07189619541168213,45.00600051879883,1.3966668844223022,0.029339853300733496,409,12,60
19,9.94308853149414,-0.052731603384017944,39.990196228027344,1.3574068546295166,0.036923076923076927,325,12,60
20,12.457244873046875,-0.061935052275657654,50.083858489990234,1.335039496421814,0.02926829268292683,410,12,60
21,10.687735557556152,-0.05629850924015045,42.98341369628906,1.2478926181793213,0.032467532467532464,308,10,60
22,9.216503143310547,-0.08290217071771622,37.20576477050781,1.2790212631225586,0.08571428571428572,245,21,60
