generation,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress
0,4.54775333404541,0.007524477317929268,18.17557144165039,1.7792243957519531,0.936,125,117,60
1,3.8947925567626953,0.05648232251405716,15.375511169433594,1.7514870166778564,1.0,111,120,60
2,3.7225847244262695,-0.01398107036948204,14.967796325683594,1.7238496541976929,0.26765799256505574,269,72,60
3,3.6879055500030518,0.019801422953605652,14.69283390045166,1.690051794052124,0.2918918918918919,185,54,60
4,5.707726955413818,-0.07975833863019943,23.16411590576172,1.658313512802124,0.16556291390728478,302,50,60
5,9.561165809631348,-0.08705794811248779,38.59906005859375,1.6401066780090332,0.034047919293820936,793,27,60
6,8.776018142700195,0.05990657955408096,34.87385177612305,1.6510834693908691,0.014084507042253521,639,9,60
7,5.400025367736816,-0.02050219289958477,21.693294525146484,1.6671222448349,0.011111111111111112,630,7,60
8,5.873569011688232,0.03560340404510498,23.364547729492188,1.6521334648132324,0.0030349013657056147,659,2,60
9,7.018088340759277,0.0262797549366951,27.979961395263672,1.6521075963974,0.004792332268370607,626,3,60
10,7.083498477935791,0.0005955509841442108,28.343048095703125,1.6343973875045776,0.0032520325203252032,615,2,60
11,6.4988508224487305,-0.10137605667114258,26.413415908813477,1.6222552061080933,0.015817223198594025,569,9,60
12,9.349912643432617,0.05372185260057449,37.1946907043457,1.5988116264343262,0.012345679012345678,567,7,60
13,8.863487243652344,-0.06743624806404114,35.73488235473633,1.5869861841201782,0.014084507042253521,568,8,60
14,8.276100158691406,0.05866966396570206,32.879798889160156,1.5450820922851562,0.023483365949119372,511,12,60
15,7.922898292541504,-0.08836096525192261,32.053428649902344,1.514548420906067,0.042606516290726815,399,17,60
16,9.720748901367188,-0.02396850660443306,38.98729705810547,1.489840030670166,0.03125,416,13,60
17,9.92270565032959,0.04530128091573715,39.51729202270508,1.3968729972839355,0.024793388429752067,363,9,60
18,12.790962219238281,0.051979515701532364,50.965328216552734,1.4063557386398315,0.04597701149425287,348,16,60
19,12.174026489257812,0.07037824392318726,48.42026138305664,1.3587944507598877,0.02735562310030395,329,9,60
20,11.872529983520508,0.03927585855126381,47.33994674682617,1.302907109260559,0.04030226700251889,397,16,60
21,11.385486602783203,-0.07631870359182358,45.852874755859375,1.3059852123260498,0.03459119496855346,318,11,60
22,13.200372695922852,0.08867989480495453,52.45354461669922,1.292776107788086,0.02359882005899705,339,8,60
23,12.30024528503418,-0.0017358660697937012,49.213470458984375,1.318975567817688,0.036303630363036306,303,11,60
24,11.501260757446289,-0.1551641970872879,46.633506774902344,1.3365519046783447,0.04276315789473684,304,13,60
25,9.72282886505127,-0.055706389248371124,39.12139129638672,1.2796034812927246,0.04797047970479705,271,13,60
26,14.093342781066895,0.24797523021697998,55.39060974121094,1.2447757720947266,0.05928853754940711,253,15,60
27,8.616764068603516,-0.050805673003196716,34.6802864074707,1.2679316997528076,0.048458149779735685,227,11,60
28,11.964524269104004,0.02825070172548294,47.752994537353516,1.2134720087051392,0.09502262443438914,221,21,60
29,10.170483589172363,-0.008302031084895134,40.72394561767578,1.2025666236877441,0.08450704225352113,213,18,60
30,8.600625991821289,-0.0322110652923584,34.54133605957031,1.1847442388534546,0.10270270270270271,185,19,60
31,9.873592376708984,-0.041567932814359665,39.66957092285156,1.151136875152588,0.0979381443298969,194,19,60
32,8.712156295776367,0.031733714044094086,34.73241424560547,1.1785359382629395,0.12021857923497267,183,22,60
33,7.920534610748291,0.005676675587892532,31.66960906982422,1.141408920288086,0.22297297297297297,148,33,60
34,9.138714790344238,0.06912936270236969,36.289100646972656,1.1295170783996582,0.20666666666666667,150,31,60
35,6.892848968505859,-0.012510744854807854,27.633859634399414,1.111427903175354,0.24475524475524477,143,35,60
36,8.097091674804688,-0.054264266043901443,32.61894989013672,1.1701862812042236,0.2129032258064516,155,33,60
37,8.1796293258667,-0.030834760516881943,32.85442352294922,1.1446492671966553,0.20253164556962025,158,32,60
38,9.714646339416504,0.06528548151254654,38.609127044677734,1.0686664581298828,0.2052980132450331,151,31,60
39,9.824795722961426,0.10786855220794678,38.881134033203125,1.0720360279083252,0.21768707482993196,147,32,60
40,8.643486022949219,0.10855108499526978,34.15266418457031,1.0228559970855713,0.26277372262773724,137,36,60
41,7.417850017547607,0.07991985231637955,29.365232467651367,1.0169594287872314,0.272,125,34,60
42,5.485864639282227,-0.11843572556972504,22.43177032470703,0.9899662733078003,0.46534653465346537,101,47,60
43,6.433479309082031,-0.027216482907533646,25.856555938720703,0.9239834547042847,0.36607142857142855,112,41,60
44,6.730513095855713,0.07522313296794891,26.63528823852539,0.888347327709198,0.4,105,42,60
45,5.60746431350708,-0.050400882959365845,22.64722442626953,0.9232607483863831,0.5714285714285714,91,52,60
46,5.862884521484375,-0.04229893535375595,23.636367797851562,0.9042506217956543,0.48514851485148514,101,49,60
47,5.263266563415527,-0.07424589991569519,21.365570068359375,0.8824684023857117,0.5376344086021505,93,50,60
48,5.630973815917969,-0.03559402748942375,22.68222427368164,0.8856072425842285,0.5795454545454546,88,51,60
49,5.5761189460754395,-0.009789385832846165,22.358821868896484,0.8273640871047974,0.5977011494252874,87,52,60
50,6.507305145263672,0.04490809515118599,25.86467170715332,0.8064727783203125,0.5824175824175825,91,53,60
51,4.169900417327881,-0.04365561902523041,16.870323181152344,0.8408144116401672,0.5760869565217391,92,53,60
52,6.810222625732422,0.1048356220126152,26.837661743164062,0.8373505473136902,0.5638297872340425,94,53,60
53,4.0585126876831055,0.007447283715009689,16.220836639404297,0.8558729887008667,0.6470588235294118,85,55,60
54,6.242978096008301,0.035289231687784195,24.84646224975586,0.8103291988372803,0.6436781609195402,87,56,60
55,5.805603981018066,0.06950939446687698,22.959753036499023,0.789306640625,0.6744186046511628,86,58,60
56,4.637669086456299,0.026841647922992706,18.458984375,0.8014427423477173,0.625,88,55,60
57,6.63054895401001,0.11800667643547058,26.06604766845703,0.8057637810707092,0.6867469879518072,83,57,60
58,4.001777172088623,-0.027716871351003647,16.133460998535156,0.7840590476989746,0.6222222222222222,90,56,60
59,4.23099946975708,-0.05987605080008507,17.17852020263672,0.758246660232544,0.6626506024096386,83,55,60
60,3.8495280742645264,-0.055056214332580566,15.633606910705566,0.7696310877799988,0.6309523809523809,84,53,60
61,4.690865993499756,0.08894699066877365,18.423110961914062,0.7784270644187927,0.7733333333333333,75,58,60
62,4.278073310852051,0.06106347590684891,16.882831573486328,0.7459925413131714,0.7468354430379747,79,59,60
63,4.778748512268066,-0.0003633704036474228,19.130226135253906,0.6943668723106384,0.7142857142857143,77,55,60
64,4.897524833679199,0.0416903980076313,19.438716888427734,0.7739837169647217,0.7894736842105263,76,60,60
65,3.4746463298797607,-0.04374280571937561,14.089601516723633,0.808276891708374,0.7435897435897436,78,58,60
66,4.719639301300049,0.01774492859840393,18.822452545166016,0.7500724792480469,0.7792207792207793,77,60,60
67,4.56626033782959,-0.0026827193796634674,18.29022789001465,0.727983295917511,0.7037037037037037,81,57,60
68,7.020936965942383,0.17853567004203796,27.383455276489258,0.6991214752197266,0.6904761904761905,84,58,60
69,3.9987494945526123,-0.020587101578712463,16.09215545654297,0.745257556438446,0.7142857142857143,77,55,60
70,4.725259780883789,0.02957816980779171,18.796371459960938,0.6882297992706299,0.691358024691358,81,56,60
71,5.000805377960205,-0.000388074666261673,20.019222259521484,0.7276706695556641,0.7435897435897436,78,58,60
72,5.47616720199585,0.01689273677766323,21.851587295532227,0.7300487756729126,0.5578947368421052,95,53,60
73,4.072051525115967,-0.015535440295934677,16.363344192504883,0.6555110216140747,0.7051282051282052,78,55,60
74,4.2763872146606445,0.09391453862190247,16.744184494018555,0.7195127606391907,0.7733333333333333,75,58,60
75,4.845036506652832,0.009371869266033173,19.35643768310547,0.6936545372009277,0.8333333333333334,72,60,60
76,5.540712833404541,0.0817866250872612,21.850025177001953,0.721470057964325,0.7215189873417721,79,57,60
77,5.336898326873779,0.014322709292173386,21.30420684814453,0.7010599970817566,0.7866666666666666,75,59,60
78,5.596848011016846,0.008678924292325974,22.366106033325195,0.6763695478439331,0.6785714285714286,84,57,60
79,5.794548511505127,0.12895295023918152,22.6744384765625,0.6094264984130859,0.75,76,57,60
