run,iter,tau,tau_max,trailing_succ,trailing_n,trailing_rate,at_entrance,entrance_succ_cum,entrance_n_cum,entrance_rate_cum,truncated_cum
v28_seed1,223,0,784,0,30,0.0,True,3304,15352,0.215,10512
v28_seed1,224,0,784,0,30,0.0,True,3306,15454,0.214,10570
v28_seed1,225,0,784,1,30,0.03,True,3311,15539,0.213,10625
v28_seed1,226,0,784,0,30,0.0,True,3312,15630,0.212,10683
v28_seed1,227,0,784,2,30,0.07,True,3315,15711,0.211,10738
v28_seed1,228,0,784,3,30,0.1,True,3320,15792,0.21,10793
v28_seed1,229,0,784,0,30,0.0,True,3324,15876,0.209,10849
v28_seed1,230,0,784,1,30,0.03,True,3330,15978,0.208,10902
v28_seed1,231,0,784,0,30,0.0,True,3333,16086,0.207,10957
v28_seed1,232,0,784,0,30,0.0,True,3335,16168,0.206,11015
v28_seed1,233,0,784,0,30,0.0,True,3337,16260,0.205,11073
v28_seed1,234,0,784,0,30,0.0,True,3337,16328,0.204,11130
v28_seed1,235,0,784,0,30,0.0,True,3338,16408,0.203,11187
v28_seed1,236,0,784,0,30,0.0,True,3340,16490,0.203,11246
v28_seed1,237,0,784,0,30,0.0,True,3340,16561,0.202,11304
v28_seed1,238,0,784,0,30,0.0,True,3341,16646,0.201,11362
v28_seed1,239,0,784,0,30,0.0,True,3343,16726,0.2,11418
v28_seed1,240,0,784,1,30,0.03,True,3348,16812,0.199,11468
v28_seed1,241,0,784,1,30,0.03,True,3354,16878,0.199,11523
v28_seed1,242,0,784,1,30,0.03,True,3355,16954,0.198,11576
v28_seed1,243,0,784,1,30,0.03,True,3359,17040,0.197,11631
v28_seed1,244,0,784,0,30,0.0,True,3360,17129,0.196,11688
v28_seed1,245,0,784,1,30,0.03,True,3363,17228,0.195,11743
v28_seed1,246,0,784,2,30,0.07,True,3370,17327,0.194,11793
v28_seed1,247,0,784,2,30,0.07,True,3376,17413,0.194,11846
v28_seed1,248,0,784,0,30,0.0,True,3386,17489,0.194,11889
v28_seed1,249,0,784,3,30,0.1,True,3399,17594,0.193,11931
v28_seed2,0,744,784,0,0,0.0,False,0,2,0.0,0
v28_seed2,1,664,784,0,30,0.0,False,0,10,0.0,8
v28_seed2,2,584,784,0,30,0.0,False,0,18,0.0,26
v28_seed2,3,504,784,0,23,0.0,False,0,25,0.0,58
v28_seed2,4,424,784,0,30,0.0,False,0,32,0.0,93
v28_seed2,5,384,784,0,30,0.0,False,0,44,0.0,135
v28_seed2,6,384,784,1,30,0.03,False,0,56,0.0,177
v28_seed2,7,344,784,2,30,0.07,False,0,73,0.0,222
v28_seed2,8,304,784,0,30,0.0,False,0,87,0.0,277
v28_seed2,9,264,784,0,30,0.0,False,0,101,0.0,329
v28_seed2,10,264,784,0,30,0.0,False,0,113,0.0,388
v28_seed2,11,264,784,0,30,0.0,False,0,127,0.0,445
v28_seed2,12,264,784,0,30,0.0,False,0,133,0.0,503
v28_seed2,13,264,784,2,30,0.07,False,0,142,0.0,560
v28_seed2,14,224,784,0,30,0.0,False,0,149,0.0,614
v28_seed2,15,224,784,0,30,0.0,False,0,159,0.0,672
v28_seed2,16,224,784,2,30,0.07,False,0,170,0.0,730
v28_seed2,17,224,784,0,30,0.0,False,0,181,0.0,789
v28_seed2,18,224,784,0,30,0.0,False,0,191,0.0,844
v28_seed2,19,224,784,0,30,0.0,False,0,198,0.0,899
v28_seed2,20,184,784,1,30,0.03,False,0,204,0.0,951
v28_seed2,21,144,784,0,30,0.0,False,0,221,0.0,1005
