run,iter,trunk_dim,srank_delta01,srank_frac_of_trunk,participation_ratio,pr_frac_of_trunk,mean_feature_norm,top_sigma
mario_1_1_v27_recovery_seed2,170,32,9,0.28125,2.4311,0.076,39.7994,601.0297
mario_1_1_v27_recovery_seed2,180,32,13,0.40625,3.2736,0.1023,30.7569,515.0847
mario_1_1_v27_recovery_seed2,190,32,14,0.4375,3.6236,0.1132,31.9701,493.8372
mario_1_1_v27_recovery_seed2,200,32,16,0.5,3.5734,0.1117,27.2231,492.4352
mario_1_1_v27_recovery_seed2,210,32,15,0.46875,3.3895,0.1059,30.7334,490.6706
mario_1_1_v27_recovery_seed2,220,32,16,0.5,2.8643,0.0895,30.2039,515.8931
mario_1_1_v27_recovery_seed2,230,32,15,0.46875,3.0113,0.0941,31.3633,520.489
mario_1_1_v27_recovery_seed2,240,32,14,0.4375,2.9614,0.0925,32.6323,518.6337
mario_1_1_v27_recovery_seed3,10,32,11,0.34375,3.2245,0.1008,22.0343,337.2073
mario_1_1_v27_recovery_seed3,20,32,11,0.34375,3.0843,0.0964,25.8882,403.315
mario_1_1_v27_recovery_seed3,30,32,11,0.34375,2.6147,0.0817,32.3466,447.6742
mario_1_1_v27_recovery_seed3,40,32,11,0.34375,3.0973,0.0968,34.4679,459.8695
mario_1_1_v27_recovery_seed3,50,32,11,0.34375,2.7397,0.0856,35.7825,486.7027
mario_1_1_v27_recovery_seed3,60,32,11,0.34375,2.7954,0.0874,36.6747,496.0897
mario_1_1_v27_recovery_seed3,70,32,12,0.375,3.0137,0.0942,37.2282,498.04
mario_1_1_v27_recovery_seed3,80,32,12,0.375,3.157,0.0987,36.0804,487.2793
mario_1_1_v27_recovery_seed3,90,32,13,0.40625,3.3008,0.1032,36.2686,501.574
mario_1_1_v27_recovery_seed3,100,32,12,0.375,3.2636,0.102,37.5713,508.8896
mario_1_1_v27_recovery_seed3,110,32,13,0.40625,3.2805,0.1025,35.7832,527.3618
mario_1_1_v27_recovery_seed3,120,32,15,0.46875,4.1189,0.1287,29.5341,465.9552
mario_1_1_v27_recovery_seed3,130,32,18,0.5625,3.4964,0.1093,24.4839,475.8796
mario_1_1_v27_recovery_seed3,140,32,17,0.53125,4.2818,0.1338,28.14,466.3048
mario_1_1_v27_recovery_seed3,150,32,14,0.4375,4.1671,0.1302,32.6436,486.9119
mario_1_1_v27_recovery_seed3,160,32,14,0.4375,4.167,0.1302,34.5016,489.4647
mario_1_1_v27_recovery_seed3,170,32,14,0.4375,4.0377,0.1262,34.335,494.8757
mario_1_1_v27_recovery_seed3,180,32,15,0.46875,4.0979,0.1281,34.1113,497.5924
mario_1_1_v27_recovery_seed3,190,32,15,0.46875,4.1001,0.1281,33.7556,484.0731
mario_1_1_v27_recovery_seed3,200,32,15,0.46875,4.0653,0.127,33.517,490.1263
mario_1_1_v27_recovery_seed3,210,32,15,0.46875,3.9676,0.124,33.7967,490.0161
mario_1_1_v27_recovery_seed3,220,32,16,0.5,4.1004,0.1281,33.7795,495.1753
mario_1_1_v27_recovery_seed3,230,32,16,0.5,3.6756,0.1149,34.6311,510.5571
mario_1_1_v27_recovery_seed3,240,32,15,0.46875,3.7167,0.1161,35.3327,514.0713
mario_1_1_v28_capacity_seed0,10,32,9,0.28125,3.0859,0.0964,23.4655,374.3165
mario_1_1_v28_capacity_seed0,20,32,9,0.28125,2.5773,0.0805,28.6906,471.269
mario_1_1_v28_capacity_seed0,30,32,9,0.28125,2.8123,0.0879,34.1622,470.256
mario_1_1_v28_capacity_seed0,40,32,9,0.28125,2.902,0.0907,37.2529,516.9708
mario_1_1_v28_capacity_seed0,50,32,9,0.28125,3.0933,0.0967,38.345,525.3773
mario_1_1_v28_capacity_seed0,60,32,9,0.28125,2.7387,0.0856,39.7148,572.4468
mario_1_1_v28_capacity_seed0,70,32,9,0.28125,2.7579,0.0862,40.2102,585.5579
mario_1_1_v28_capacity_seed0,80,32,9,0.28125,2.6518,0.0829,40.4488,585.1478
mario_1_1_v28_capacity_seed0,90,32,9,0.28125,2.6326,0.0823,40.4963,600.7154
mario_1_1_v28_capacity_seed0,100,32,9,0.28125,2.8539,0.0892,40.8437,594.1818
mario_1_1_v28_capacity_seed0,110,32,9,0.28125,2.9983,0.0937,40.0131,598.1844
mario_1_1_v28_capacity_seed0,120,32,9,0.28125,2.7541,0.0861,40.2875,613.372
mario_1_1_v28_capacity_seed0,130,32,9,0.28125,2.7102,0.0847,41.1085,616.782
mario_1_1_v28_capacity_seed0,140,32,9,0.28125,2.8241,0.0883,40.6594,606.9219
mario_1_1_v28_capacity_seed0,150,32,10,0.3125,2.9484,0.0921,40.7799,596.091
mario_1_1_v28_capacity_seed0,160,32,11,0.34375,3.0959,0.0967,40.4009,585.6766
mario_1_1_v28_capacity_seed0,170,32,12,0.375,3.0377,0.0949,39.1204,619.0942
mario_1_1_v28_capacity_seed0,180,32,15,0.46875,3.7951,0.1186,34.0869,541.9965
mario_1_1_v28_capacity_seed0,190,32,18,0.5625,3.9882,0.1246,26.5686,485.5265
mario_1_1_v28_capacity_seed0,200,32,18,0.5625,3.2881,0.1028,24.4542,490.5078
mario_1_1_v28_capacity_seed0,210,32,19,0.59375,3.2142,0.1004,24.5983,498.6095
mario_1_1_v28_capacity_seed0,220,32,17,0.53125,4.7479,0.1484,30.6757,473.5414
mario_1_1_v28_capacity_seed0,230,32,17,0.53125,4.4728,0.1398,31.5992,501.0262
mario_1_1_v28_capacity_seed0,240,32,17,0.53125,4.8054,0.1502,31.6249,463.9475
mario_1_1_v28_capacity_seed1,10,32,11,0.34375,3.0494,0.0953,23.2015,350.145
mario_1_1_v28_capacity_seed1,20,32,12,0.375,2.1242,0.0664,27.2618,422.6855
mario_1_1_v28_capacity_seed1,30,32,11,0.34375,2.1497,0.0672,33.5468,472.0544
mario_1_1_v28_capacity_seed1,40,32,10,0.3125,1.9481,0.0609,35.4604,513.1321
mario_1_1_v28_capacity_seed1,50,32,11,0.34375,1.8309,0.0572,37.3519,554.3391
mario_1_1_v28_capacity_seed1,60,32,11,0.34375,2.0065,0.0627,37.8524,555.8829
mario_1_1_v28_capacity_seed1,70,32,10,0.3125,1.9982,0.0624,38.1189,571.3627
mario_1_1_v28_capacity_seed1,80,32,10,0.3125,1.994,0.0623,38.3468,578.2576
mario_1_1_v28_capacity_seed1,90,32,10,0.3125,2.1308,0.0666,38.9224,576.5709
mario_1_1_v28_capacity_seed1,100,32,11,0.34375,2.3973,0.0749,37.9637,567.7891
mario_1_1_v28_capacity_seed1,110,32,10,0.3125,2.3551,0.0736,39.2721,557.0039
mario_1_1_v28_capacity_seed1,120,32,11,0.34375,2.2674,0.0709,38.1335,563.4821
mario_1_1_v28_capacity_seed1,130,32,11,0.34375,2.1933,0.0685,38.5543,575.0077
mario_1_1_v28_capacity_seed1,140,32,13,0.40625,2.6377,0.0824,34.7849,532.4277
mario_1_1_v28_capacity_seed1,150,32,17,0.53125,3.5844,0.112,25.8333,478.9211
mario_1_1_v28_capacity_seed1,160,32,17,0.53125,3.2805,0.1025,27.6721,518.5024
mario_1_1_v28_capacity_seed1,170,32,17,0.53125,3.4238,0.107,27.99,511.4785
mario_1_1_v28_capacity_seed1,180,32,17,0.53125,3.4826,0.1088,31.441,515.9619
mario_1_1_v28_capacity_seed1,190,32,15,0.46875,3.4791,0.1087,34.664,505.4503
mario_1_1_v28_capacity_seed1,200,32,14,0.4375,3.217,0.1005,35.2825,524.3384
mario_1_1_v28_capacity_seed1,210,32,14,0.4375,3.1065,0.0971,35.6658,523.5699
mario_1_1_v28_capacity_seed1,220,32,14,0.4375,3.1927,0.0998,35.591,524.9445
mario_1_1_v28_capacity_seed1,230,32,14,0.4375,3.0892,0.0965,36.101,552.0247
mario_1_1_v28_capacity_seed1,240,32,14,0.4375,2.9552,0.0924,35.7921,534.9301
mario_1_1_v28_capacity_seed2,10,32,9,0.28125,3.2513,0.1016,25.688,349.4789
mario_1_1_v28_capacity_seed2,20,32,10,0.3125,2.921,0.0913,27.7827,430.9902
mario_1_1_v28_capacity_seed2,30,32,10,0.3125,2.6777,0.0837,32.6946,450.9354
mario_1_1_v28_capacity_seed2,40,32,9,0.28125,2.3081,0.0721,36.2648,502.2178
mario_1_1_v28_capacity_seed2,50,32,9,0.28125,2.2021,0.0688,38.036,522.9408
mario_1_1_v28_capacity_seed2,60,32,9,0.28125,2.1442,0.067,38.5797,564.655
mario_1_1_v28_capacity_seed2,70,32,9,0.28125,2.2405,0.07,38.8302,564.7653
mario_1_1_v28_capacity_seed2,80,32,9,0.28125,2.2928,0.0717,38.4672,573.9896
mario_1_1_v28_capacity_seed2,90,32,10,0.3125,1.9443,0.0608,38.414,589.9341
mario_1_1_v28_capacity_seed2,100,32,10,0.3125,1.9781,0.0618,38.6628,585.5057
mario_1_1_v28_capacity_seed2,110,32,10,0.3125,2.0482,0.064,38.556,599.7644
mario_1_1_v28_capacity_seed2,120,32,10,0.3125,2.0216,0.0632,38.305,608.7348
mario_1_1_v28_capacity_seed2,130,32,14,0.4375,3.2124,0.1004,31.0097,524.9733
mario_1_1_v28_capacity_seed2,140,32,15,0.46875,2.891,0.0903,31.8608,550.6908
mario_1_1_v28_capacity_seed2,150,32,15,0.46875,3.1672,0.099,33.1235,532.9761
mario_1_1_v28_capacity_seed2,160,32,16,0.5,3.7259,0.1164,30.939,496.8081
mario_1_1_v28_capacity_seed2,170,32,16,0.5,4.0569,0.1268,32.2872,476.8244
mario_1_1_v28_capacity_seed2,180,32,17,0.53125,3.7145,0.1161,31.4129,494.4465
mario_1_1_v28_capacity_seed2,190,32,17,0.53125,3.9976,0.1249,31.2738,473.1883
mario_1_1_v28_capacity_seed2,200,32,17,0.53125,3.7019,0.1157,32.318,460.0148
mario_1_1_v28_capacity_seed2,210,32,16,0.5,3.3578,0.1049,33.1457,490.4032
mario_1_1_v28_capacity_seed2,220,32,15,0.46875,3.3396,0.1044,34.3152,480.1761
mario_1_1_v28_capacity_seed2,230,32,16,0.5,3.6196,0.1131,33.7402,482.8571
mario_1_1_v28_capacity_seed2,240,32,15,0.46875,3.2084,0.1003,34.5809,518.7773
mario_1_1_v28_capacity_seed3,10,32,10,0.3125,3.3632,0.1051,23.876,361.06
mario_1_1_v28_capacity_seed3,20,32,10,0.3125,3.0965,0.0968,28.3061,424.0739
mario_1_1_v28_capacity_seed3,30,32,10,0.3125,2.4549,0.0767,32.7972,463.9713
mario_1_1_v28_capacity_seed3,40,32,10,0.3125,2.6806,0.0838,35.1881,495.5974
mario_1_1_v28_capacity_seed3,50,32,10,0.3125,2.9107,0.091,36.8456,521.1552
mario_1_1_v28_capacity_seed3,60,32,10,0.3125,2.6717,0.0835,37.9675,537.669
mario_1_1_v28_capacity_seed3,70,32,10,0.3125,2.6863,0.0839,37.3782,550.7306
mario_1_1_v28_capacity_seed3,80,32,10,0.3125,2.6996,0.0844,37.9449,546.5574
mario_1_1_v28_capacity_seed3,90,32,10,0.3125,2.7914,0.0872,38.8106,550.7269
mario_1_1_v28_capacity_seed3,100,32,10,0.3125,2.8875,0.0902,38.6777,551.652
mario_1_1_v28_capacity_seed3,110,32,10,0.3125,2.4816,0.0775,38.2093,574.8927
mario_1_1_v28_capacity_seed3,120,32,10,0.3125,2.7455,0.0858,39.2968,554.3719
mario_1_1_v28_capacity_seed3,130,32,10,0.3125,2.6137,0.0817,38.9652,592.6209
mario_1_1_v28_capacity_seed3,140,32,10,0.3125,3.1247,0.0976,38.5434,562.9714
mario_1_1_v28_capacity_seed3,150,32,12,0.375,3.9047,0.122,33.6822,509.4635
mario_1_1_v28_capacity_seed3,160,32,11,0.34375,3.5368,0.1105,35.1268,512.538
mario_1_1_v28_capacity_seed3,170,32,12,0.375,3.1092,0.0972,31.0052,594.7133
mario_1_1_v28_capacity_seed3,180,32,15,0.46875,3.6348,0.1136,27.9735,536.6445
mario_1_1_v28_capacity_seed3,190,32,16,0.5,4.8501,0.1516,29.0267,453.4776
mario_1_1_v28_capacity_seed3,200,32,14,0.4375,4.8584,0.1518,31.9571,476.4722
mario_1_1_v28_capacity_seed3,210,32,14,0.4375,4.6162,0.1443,33.5835,488.9029
mario_1_1_v28_capacity_seed3,220,32,15,0.46875,4.808,0.1503,32.1602,451.4263
mario_1_1_v28_capacity_seed3,230,32,16,0.5,4.8365,0.1511,31.7961,454.8243
mario_1_1_v28_capacity_seed3,240,32,16,0.5,4.8306,0.151,32.4929,447.4152
