
=== v27_seed0  (peak_iter=60, honest_peak=0.04) ===
 iter     vloss     ploss   entropy  succ_rate
   20    47.355    0.0416    1.3202     0.0338
   30    42.040   -0.0181    1.1502     0.1359
   40    24.232   -0.0032    1.0785     0.4762
   50    20.888    0.0253    0.8958     0.7403
   60    15.050    0.0285    0.6451     0.9365 <-- PEAK
   70    20.418    0.0766    0.6116     0.8923
   80    17.239    0.0218    0.4809     0.9219
   90    21.219   -0.0330    0.3845     0.8485
  100    11.759   -0.0306    0.3428     0.8824
  110    18.471    0.0372    0.2897     0.8169
  120    27.519    0.0634    0.2200     0.7564
  130    18.695   -0.0793    0.2328     0.7867
  140    48.869    0.0573    0.1715     0.2143
  150    39.172    0.0448    0.1258     0.0928
  160    63.420    0.7992    0.1206     0.0357
  170    44.396    0.0347    0.1055     0.0269
  180    39.723    0.0501    0.1070     0.0000
  190    30.028   -0.0042    0.0885     0.0044
  200    30.524    0.0391    0.0841     0.0000
  210    27.491    0.0416    0.0817     0.0054
  220    30.585    0.0260    0.0684     0.0241
  230    23.691   -0.0733    0.0673     0.0345
  240    35.444    0.0558    0.0835     0.0357

=== v28_seed2  (peak_iter=120, honest_peak=0.37) ===
 iter     vloss     ploss   entropy  succ_rate
    0    20.593    0.0149    1.7772     0.9219
   10    26.534   -0.0094    1.5753     0.0058
   20    52.151   -0.0150    1.2244     0.0203
   30    46.501    0.0289    1.0847     0.0991
   40    22.170   -0.0847    0.9552     0.2901
   50    20.871   -0.0750    0.7596     0.5495
   60    23.088    0.0178    0.6754     0.6000
   70    21.064    0.0398    0.6694     0.7671
   80    21.853    0.0388    0.4453     0.7632
   90    21.379   -0.0047    0.4223     0.6892
  100    31.245    0.1540    0.3594     0.7681
  110    22.503   -0.0118    0.2984     0.8750
  120    19.594   -0.0626    0.3158     0.8028 <-- PEAK
  130    32.398    0.0646    0.3381     0.2148
  140    58.813   -0.0189    0.2079     0.0861
  150    45.895    0.0104    0.1445     0.0526
  160    46.660    0.0329    0.1297     0.0273
  170    39.435    0.1479    0.0761     0.0180
  180    38.834    0.0685    0.1005     0.0000
  190    29.556   -0.1041    0.1044     0.0000
  200    31.644    0.1300    0.0756     0.0000
  210    24.402    0.0714    0.0714     0.0000
  220    27.804    0.0850    0.0798     0.0000
  230    24.607    0.0465    0.1256     0.0000
  240    22.584   -0.0648    0.1620     0.0065

=== v28_seed3  (peak_iter=90, honest_peak=0.67) ===
 iter     vloss     ploss   entropy  succ_rate
    0    21.481   -0.0621    1.7776     0.8750
   10    30.844    0.0608    1.6418     0.0195
   20    44.523    0.0875    1.4398     0.0116
   30    47.594    0.1126    1.2373     0.0622
   40    30.737    0.0332    0.9534     0.3071
   50    16.455   -0.1278    0.8440     0.7089
   60    15.183    0.0596    0.7425     0.8955
   70    17.476   -0.0121    0.6098     0.6625
   80    10.094   -0.0445    0.5548     0.8209
   90    14.790   -0.0122    0.4490     1.0000 <-- PEAK
  100    13.551   -0.0662    0.4126     0.9206
  110    18.565    0.0301    0.3355     0.8730
  120    16.736    0.0051    0.2851     0.9500
  130    18.800   -0.0206    0.2403     0.7778
  140    26.649    0.0227    0.2064     0.3604
  150    21.814    0.0445    0.2103     0.0678
  160    30.505    0.0174    0.1400     0.0493
  170    49.807    0.1001    0.1070     0.0029
  180    38.266    0.0131    0.0972     0.0000
  190    36.381    0.1175    0.0992     0.0054
  200    26.457    0.0925    0.0800     0.0000
  210    28.937   -0.0252    0.0884     0.0049
  220    26.956    0.4291    0.0762     0.0041
  230    33.626    0.0855    0.0819     0.0092
  240    36.994    0.0726    0.0877     0.0000
