run,iter,is_peak,param,numel,step,m_mean_abs,m_rms,v_mean,v_min,v_max,eff_lr_mean,eff_lr_median,eff_lr_min,eff_lr_max,frac_v_near_zero
v28_seed3,10,False,fc1.weight,68352,26401.0,0.10000000149011612,0.10000274330377579,0.0010145275155082345,0.0010000000474974513,0.014823202975094318,0.009455513209104538,0.009486771188676357,0.0024640539195388556,0.009486828930675983,0.0
v28_seed3,10,False,fc1.bias,96,26401.0,0.10000000149011612,0.1000000536441803,0.0010002803755924106,0.0010000269394367933,0.0010034404695034027,0.009485500864684582,0.009486263617873192,0.009470553137362003,0.009486702270805836,0.0
v28_seed3,10,False,norm1.weight,96,26401.0,0.09998679161071777,0.09998719394207001,0.0010024174116551876,0.0010002171620726585,0.0010176713112741709,0.00947540532797575,0.009477999992668629,0.009404102340340614,0.009485800750553608,0.0
v28_seed3,10,False,norm1.bias,96,26401.0,0.10006346553564072,0.10006413608789444,0.0010033783037215471,0.001000504824332893,0.0010166544234380126,0.009470880031585693,0.009476430714130402,0.009408803656697273,0.009484436362981796,0.0
v28_seed3,10,False,fc2.weight,3072,26401.0,0.10000000149011612,0.10000032186508179,0.00100154138635844,0.0010000199545174837,0.0010485254460945725,0.009479555301368237,0.00948361400514841,0.009264706633985043,0.009486735798418522,0.0
v28_seed3,10,False,fc2.bias,32,26401.0,0.09999999403953552,0.10000212490558624,0.0010086266556754708,0.0010016567539423704,0.0010413925629109144,0.009446529671549797,0.00946658942848444,0.009296380914747715,0.009478981606662273,0.0
v28_seed3,10,False,norm2.weight,32,26401.0,0.10008317232131958,0.10008327662944794,0.0010004492942243814,0.0010000420734286308,0.0010015704901888967,0.009484700858592987,0.009485432878136635,0.00947938859462738,0.00948663055896759,0.0
v28_seed3,10,False,norm2.bias,32,26401.0,0.10012723505496979,0.10012732446193695,0.0010003773495554924,0.0010000679176300764,0.0010016467422246933,0.009485040791332722,0.009485566057264805,0.009479028172791004,0.009486507624387741,0.0
v28_seed3,10,False,actor.weight,192,26401.0,0.10000000149011612,0.10000047832727432,0.0010020982008427382,0.0010000034235417843,0.0010181866819038987,0.009476948529481888,0.009486716240644455,0.009401722811162472,0.00948681402951479,0.0
v28_seed3,10,False,actor.bias,6,26401.0,0.10000000149011612,0.1000000536441803,0.0010001134360209107,0.0010000519687309861,0.0010001829359680414,0.00948629155755043,0.009486065246164799,0.009485962800681591,0.00948658399283886,0.0
v28_seed3,10,False,critic.weight,32,26401.0,0.10014186054468155,0.1001422330737114,0.0010010821279138327,0.0010000044712796807,0.0010047658579424024,0.009481711313128471,0.009486616589128971,0.009464303962886333,0.009486809372901917,0.0
v28_seed3,10,False,critic.bias,1,26401.0,0.10000935941934586,0.10000935941934586,0.0010001377668231726,0.0010001377668231726,0.0010001377668231726,0.009486177004873753,0.009486177004873753,0.009486177004873753,0.009486177004873753,0.0
v28_seed3,10,False,rnd.predictor.net.0.weight,91136,26401.0,0.09999999403953552,0.10000000149011612,0.0010000019101426005,0.0010000000474974513,0.0010000078473240137,0.009486822411417961,0.009486821480095387,0.009486792609095573,0.009486828930675983,0.0
v28_seed3,10,False,rnd.predictor.net.0.bias,128,26401.0,0.09999999403953552,0.10000000149011612,0.0010000041220337152,0.0010000007459893823,0.0010000092443078756,0.009486811235547066,0.009486813098192215,0.009486786089837551,0.00948682613670826,0.0
v28_seed3,10,False,rnd.predictor.net.1.weight,128,26401.0,0.10000073164701462,0.10000073164701462,0.00100000633392483,0.0010000023758038878,0.001000019139610231,0.00948680005967617,0.009486803784966469,0.009486738592386246,0.009486818686127663,0.0
v28_seed3,10,False,rnd.predictor.net.1.bias,128,26401.0,0.09999891370534897,0.09999892115592957,0.0010000084294006228,0.001000002259388566,0.001000016462057829,0.009486790746450424,0.009486790746450424,0.009486752562224865,0.009486819617450237,0.0
v28_seed3,10,False,rnd.predictor.net.3.weight,16384,26401.0,0.09999999403953552,0.10000000149011612,0.00100000761449337,0.0010000001639127731,0.0010000496404245496,0.009486793540418148,0.009486799128353596,0.00948659423738718,0.009486828930675983,0.0
v28_seed3,10,False,rnd.predictor.net.3.bias,128,26401.0,0.10000000149011612,0.10000000894069672,0.0010000420734286308,0.001000001560896635,0.0010000886395573616,0.00948663055896759,0.009486624039709568,0.009486408904194832,0.009486823342740536,0.0
v28_seed3,10,False,rnd.predictor.net.4.weight,128,26401.0,0.10000007599592209,0.10000008344650269,0.0010000066831707954,0.0010000005131587386,0.0010000233305618167,0.009486798197031021,0.009486804716289043,0.009486719965934753,0.009486827068030834,0.0
v28_seed3,10,False,rnd.predictor.net.4.bias,128,26401.0,0.09999996423721313,0.09999996423721313,0.0010000122711062431,0.0010000001639127731,0.0010000233305618167,0.009486772119998932,0.009486769326031208,0.009486719965934753,0.009486828930675983,0.0
v28_seed3,10,False,rnd.predictor.net.6.weight,8192,26401.0,0.10000039637088776,0.10000039637088776,0.001000010990537703,0.001000001560896635,0.0010000590700656176,0.00948677770793438,0.009486792609095573,0.009486550465226173,0.009486823342740536,0.0
v28_seed3,10,False,rnd.predictor.net.6.bias,64,26401.0,0.10000170767307281,0.10000172257423401,0.0010000566253438592,0.0010000491747632623,0.0010000689653679729,0.009486561641097069,0.009486558847129345,0.009486502967774868,0.009486597031354904,0.0
v28_seed3,20,False,fc1.weight,68352,50400.0,9.81594348559156e-05,0.0008062788983806968,1.456373320252169e-05,0.0,0.012498878873884678,173.43418884277344,3.429116725921631,0.002683401806280017,30000.001953125,0.006247073877602816
v28_seed3,20,False,fc1.bias,96,50400.0,8.270091348094866e-05,0.00011507765884744003,2.7507908839652373e-07,1.2343522648450289e-08,2.3098839392332593e-06,0.977695643901825,0.9145011305809021,0.19738918542861938,2.699993133544922,0.0
v28_seed3,20,False,norm1.weight,96,50400.0,0.0002678928431123495,0.00036002343404106796,2.159700898118899e-06,2.33011405725847e-07,1.2286721357668284e-05,0.25156688690185547,0.2447032630443573,0.08558586239814758,0.6214749813079834,0.0
v28_seed3,20,False,norm1.bias,96,50400.0,0.00027083640452474356,0.00036010047188028693,2.946117319879704e-06,4.968172788721859e-07,2.395929186604917e-05,0.2187262922525406,0.20221732556819916,0.06128912419080734,0.4256148338317871,0.0
v28_seed3,20,False,fc2.weight,3072,50400.0,0.00016524466627743095,0.00023919122759252787,1.1241860420341254e-06,7.284292724563102e-09,3.1655905331717804e-05,0.43294262886047363,0.38697418570518494,0.053320370614528656,3.514606475830078,0.0
v28_seed3,20,False,fc2.bias,32,50400.0,0.0003988886019214988,0.0005258994642645121,6.844937161076814e-06,1.7431979131288244e-06,2.7302994567435235e-05,0.14362889528274536,0.14274688065052032,0.05741367116570473,0.22721898555755615,0.0
v28_seed3,20,False,norm2.weight,32,50400.0,8.930225158110261e-05,0.00011126213939860463,3.76557466097438e-07,1.498197832461301e-08,3.467085889496957e-06,1.0414801836013794,1.2088778018951416,0.16111524403095245,2.4507625102996826,0.0
v28_seed3,20,False,norm2.bias,32,50400.0,5.3954361646901816e-05,6.26782129984349e-05,2.3349903699454444e-07,2.073607596742022e-08,8.349579729838297e-07,0.9735043048858643,1.0833169221878052,0.3283100724220276,2.0831849575042725,0.0
v28_seed3,20,False,actor.weight,192,50400.0,0.00022033137793187052,0.00047001559869386256,1.7628527757551637e-06,9.785194876599235e-10,2.4384564312640578e-05,2.611997365951538,2.5624120235443115,0.060752324759960175,9.58733081817627,0.0
