run,iter,hidden_dim,trunk_dim,num_params,missing_keys,unexpected_keys,total_weight_l2,mean_entropy,std_entropy,min_entropy,max_entropy,max_entropy_possible,mean_max_prob,frac_saturated_p99,frac_saturated_p999,n_actions_used_argmax,frac_actions_used_argmax,dominant_action_frac,mean_abs_logit,max_abs_logit,std_logit,l2__fc1.weight,l2__fc1.bias,l2__norm1.weight,l2__norm1.bias,l2__fc2.weight,l2__fc2.bias,l2__norm2.weight,l2__norm2.bias,l2__actor.weight,l2__actor.bias,l2__critic.weight,l2__critic.bias,delta_iters,delta_total_l2,delta_total_l2_relative,delta_l2__fc1.weight,cos__fc1.weight,delta_l2__fc1.bias,cos__fc1.bias,delta_l2__norm1.weight,cos__norm1.weight,delta_l2__norm1.bias,cos__norm1.bias,delta_l2__fc2.weight,cos__fc2.weight,delta_l2__fc2.bias,cos__fc2.bias,delta_l2__norm2.weight,cos__norm2.weight,delta_l2__norm2.bias,cos__norm2.bias,delta_l2__actor.weight,cos__actor.weight,delta_l2__actor.bias,cos__actor.bias,delta_l2__critic.weight,cos__critic.weight,delta_l2__critic.bias,cos__critic.bias
mario_1_1_v27_recovery_seed0,10,64,32,48135,0,0,39.58570861816406,1.4844861030578613,0.15539439022541046,1.1734583377838135,1.7713401317596436,1.791759469228055,0.3885901868343353,0.0,0.0,5,0.8333333333333334,0.8404947916666666,0.7982028722763062,2.298142910003662,0.9415581226348877,28.204694747924805,0.9773567318916321,8.7283935546875,1.0269583463668823,8.52425479888916,0.22656689584255219,15.229721069335938,10.007000923156738,1.0942085981369019,0.12341701239347458,16.741483688354492,2.653508186340332,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario_1_1_v27_recovery_seed0,20,64,32,48135,0,0,47.5520133972168,1.1810745000839233,0.22278040647506714,0.6239087581634521,1.7596415281295776,1.791759469228055,0.5074167847633362,0.0,0.0,4,0.6666666666666666,0.8782552083333334,1.2362722158432007,4.343825340270996,1.3598963022232056,34.44745635986328,1.3549351692199707,9.320562362670898,1.7770860195159912,9.214837074279785,0.22919975221157074,18.32036018371582,11.46753215789795,1.9538626670837402,0.17066660523414612,20.4079647064209,3.203634262084961,10,21.371225357055664,0.4494284012442366,20.233844757080078,0.8093648048194894,0.5890424847602844,0.9228224368456455,1.1424214839935303,0.9941338275452959,0.8051155209541321,0.976569900596728,3.855252981185913,0.9084270103818542,0.09322592616081238,0.9163845747422542,3.363567352294922,0.9968432842269213,1.5492818355560303,0.9988362667004936,1.2493102550506592,0.8078117308725568,0.07506821304559708,0.9192259527799255,3.8165652751922607,0.9983564828088995,0.5501260757446289,1.0
mario_1_1_v27_recovery_seed0,30,64,32,48135,0,0,53.853370666503906,1.1445406675338745,0.2899276912212372,0.38079264760017395,1.7670068740844727,1.791759469228055,0.5078664422035217,0.0,0.0,5,0.8333333333333334,0.5403645833333334,1.3649353981018066,5.514954566955566,1.6234855651855469,40.382015228271484,1.737808346748352,9.932109832763672,2.446798086166382,9.700727462768555,0.262940376996994,20.043800354003906,11.85020637512207,2.399143695831299,0.2529939115047455,22.52303123474121,3.5161478519439697,10,21.086868286132812,0.3915607885849301,20.558860778808594,0.8607368932332767,0.5790086388587952,0.9599385661091727,0.9292318820953369,0.9973562904266363,0.7109209299087524,0.9934575642013319,3.1442031860351562,0.9460237980138961,0.12107662856578827,0.887821081828733,1.849364995956421,0.9993874206061037,0.5959701538085938,0.9992320785676037,1.3146228790283203,0.8368078909495287,0.14036859571933746,0.8503211536580009,2.182551145553589,0.9996844995673156,0.3125135898590088,1.0
mario_1_1_v27_recovery_seed0,40,64,32,48135,0,0,59.16733932495117,0.9987018704414368,0.3270135521888733,0.002189439022913575,1.7599751949310303,1.791759469228055,0.5542133450508118,0.001953125,0.0006510416860692203,5,0.8333333333333334,0.4765625,1.7582786083221436,11.666847229003906,2.2130274772644043,45.995975494384766,1.986682653427124,10.38022232055664,2.960036277770996,9.991731643676758,0.2992565631866455,20.88017463684082,12.207185745239258,3.1508641242980957,0.22202274203300476,23.580720901489258,3.706456184387207,10,18.306812286376953,0.3094073942692379,18.00878143310547,0.9211818108210987,0.36042487621307373,0.9901567076342316,0.6893110871315002,0.9986695228375639,0.5404713153839111,0.9980188764710127,2.3680057525634766,0.971510711544262,0.10580340772867203,0.9372479734907431,0.903026819229126,0.9998614554469885,0.4532485604286194,0.999730387852264,1.394716501235962,0.9087127109043245,0.09434247761964798,0.9293107824333885,1.1385321617126465,0.9998329061177161,0.1903083324432373,1.0
mario_1_1_v27_recovery_seed0,50,64,32,48135,0,0,64.07334899902344,0.9210566878318787,0.3899833559989929,6.451976514654234e-05,1.7531113624572754,1.791759469228055,0.5886569619178772,0.02604166604578495,0.009114583022892475,4,0.6666666666666666,0.6334635416666666,2.2116010189056396,18.733339309692383,2.8548290729522705,50.897884368896484,2.1824183464050293,10.782652854919434,3.374728202819824,10.271586418151855,0.35507825016975403,21.769432067871094,12.702047348022461,3.949354887008667,0.19109070301055908,24.710046768188477,3.9092161655426025,10,17.79165267944336,0.27767633434791317,17.530941009521484,0.9394949722795701,0.29091086983680725,0.994658725709008,0.5954360961914062,0.9991396285638409,0.4505651891231537,0.9984463307715389,1.9986562728881836,0.9809205174946674,0.10282845050096512,0.9649084820908955,0.9571638107299805,0.9998620312663334,0.5667226910591125,0.999753979770839,1.343506932258606,0.9530925545787189,0.08047690987586975,0.9349493518704212,1.213173747062683,0.9998314590440763,0.2027599811553955,1.0
mario_1_1_v27_recovery_seed0,60,64,32,48135,0,0,68.24419403076172,0.7320308089256287,0.40924590826034546,5.004773697692144e-07,1.6669443845748901,1.791759469228055,0.717155933380127,0.046875,0.02473958395421505,5,0.8333333333333334,0.7213541666666666,3.0268940925598145,24.545862197875977,3.9987127780914307,54.835933685302734,2.3636887073516846,11.016948699951172,3.6564929485321045,10.55584716796875,0.40988627076148987,22.698577880859375,13.210103034973145,4.770705223083496,0.20476260781288147,25.86315155029297,4.114564895629883,10,15.566071510314941,0.228093711580774,15.324411392211914,0.9607092188283295,0.2753455340862274,0.9958363987469726,0.3684941530227661,0.9996596082694895,0.30778181552886963,0.999378472135813,1.6436731815338135,0.9879140303078067,0.08669890463352203,0.9844966867469263,0.9935330152511597,0.9998746280606734,0.5430210828781128,0.9998904210342144,1.2710999250411987,0.9750259636883937,0.07944000512361526,0.9217471783433256,1.2261309623718262,0.9998640012178768,0.20534873008728027,1.0
mario_1_1_v27_recovery_seed0,70,64,32,48135,0,0,71.8302001953125,0.6557257175445557,0.36521419882774353,2.0577067161298146e-08,1.6547493934631348,1.791759469228055,0.7350795865058899,0.060546875,0.0358072929084301,5,0.8333333333333334,0.572265625,4.216142654418945,29.861968994140625,5.792884349822998,58.563140869140625,2.445708990097046,11.227081298828125,3.8745810985565186,10.86266040802002,0.44546279311180115,23.22593879699707,13.389289855957031,5.491199016571045,0.2417866587638855,26.424232482910156,4.186981201171875,10,13.42817211151123,0.18694326446256412,13.270285606384277,0.9747447666821071,0.1765144020318985,0.9978868990296876,0.3147127628326416,0.999778128093184,0.24157333374023438,0.9996189308887647,1.4311267137527466,0.9914795856311758,0.05962714925408363,0.9937298759049161,0.6111503839492798,0.9999093495675175,0.2816949486732483,0.9998664551113184,1.047713279724121,0.9889567428987974,0.0476185604929924,0.9909435222971369,0.6457765102386475,0.9999252481947484,0.07241630554199219,1.0
mario_1_1_v27_recovery_seed0,80,64,32,48135,0,0,74.99790954589844,0.5943366885185242,0.35503309965133667,1.3815509847248109e-10,1.6449283361434937,1.791759469228055,0.740114152431488,0.1067708358168602,0.0709635391831398,6,1.0,0.5130208333333334,5.251283645629883,43.554656982421875,7.02946662902832,62.17182159423828,2.5545029640197754,11.495210647583008,4.165211200714111,11.148408889770508,0.45636406540870667,23.39571762084961,13.261996269226074,6.147855281829834,0.26767975091934204,26.4659423828125,4.157822132110596,10,15.663996696472168,0.20885911075809202,15.50471305847168,0.9687762221491188,0.1912515014410019,0.9980198603186389,0.3773013949394226,0.9997270015345375,0.31078940629959106,0.9996244029359919,1.5923762321472168,0.9898677628677629,0.04416612908244133,0.9954946852458767,0.3911345899105072,0.9998856547350341,0.3160543739795685,0.9997643751563421,1.3271790742874146,0.9802985283756763,0.06366583704948425,0.9738657390939174,0.36371952295303345,0.9999067029277214,0.029159069061279297,1.0
mario_1_1_v27_recovery_seed0,90,64,32,48135,0,0,77.76814270019531,0.43081116676330566,0.35948213934898376,1.3815509847248109e-10,1.591477632522583,1.791759469228055,0.807196319103241,0.23828125,0.177734375,6,1.0,0.4622395833333333,6.3240203857421875,45.99607467651367,8.5014009475708,65.3295669555664,2.683169364929199,11.734515190124512,4.400994300842285,11.466042518615723,0.45077499747276306,23.63850975036621,12.720471382141113,6.842709541320801,0.2525007426738739,26.463085174560547,4.027343273162842,10,19.964082717895508,0.2567128649948505,19.593528747558594,0.9539684665428269,0.23291166126728058,0.9972503559148654,0.49066078662872314,0.9993199247347175,0.28178510069847107,0.9993507277260071,3.1502158641815186,0.9615774425893552,0.12579400837421417,0.9616151368428799,0.806149959564209,0.9994656222498914,0.7755327224731445,0.999086546693347,1.586944818496704,0.9758061188782495,0.049114178866147995,0.983859892873288,0.7450665831565857,0.9996037427875,0.1304788589477539,1.0
mario_1_1_v27_recovery_seed0,100,64,32,48135,0,0,81.19428253173828,0.3366154432296753,0.32848677039146423,1.3815509847248109e-10,1.3959786891937256,1.791759469228055,0.8647543787956238,0.2434895783662796,0.1263020783662796,6,1.0,0.658203125,9.16949462890625,86.01006317138672,13.894479751586914,69.12580871582031,2.8318493366241455,11.965993881225586,4.6416449546813965,11.694953918457031,0.39643439650535583,23.940099716186523,12.457558631896973,7.523979663848877,0.2676636576652527,26.523977279663086,3.9919633865356445,10,20.227197647094727,0.24912096044679077,19.992185592651367,0.9573435528773607,0.27931860089302063,0.9963207072596075,0.44848746061325073,0.9994746934607052,0.2872064411640167,0.9993985104496904,2.5373330116271973,0.9761900237356708,0.1323825865983963,0.9592276395918261,0.6054831743240356,0.9997563590661229,0.49157431721687317,0.9994556692009391,1.2875852584838867,0.9884065511443889,0.07174406945705414,0.9636214492067261,0.6020790934562683,0.9997445224500245,0.035379886627197266,1.0
