run,seed,generation,reward_forward,reward_completion,reward_time_penalty,ppo_entropy,success_rate,vanilla_ppo_clears,vanilla_ppo_in_progress,avg_fitness,best_fitness,episodes,mag_total,share_forward,share_completion,share_time_penalty,net_logged_reward,peak_iter
v27,seed0,0,454.1,39.166666666666664,-2.6768333333333105,1.7808125019073486,0.8785714285714286,123,60,676.5354318891253,1499.2469482421875,140,495.94350000000003,0.9156284939715915,0.07897404979935549,0.005397456229052927,490.5898333333334,60
v27,seed0,1,682.95,35.0,-2.8003333333333074,1.7513010501861572,0.8120805369127517,121,60,660.2704912224071,1583.1812744140625,149,720.7503333333334,0.9475541923671211,0.04856050477026025,0.0038853028626185957,715.1496666666667,60
v27,seed0,2,771.6333333333333,30.0,-2.6954999999999756,1.7193636894226074,0.3432203389830508,81,60,508.85642274759584,1956.8245849609375,236,804.3288333333333,0.9593505807015498,0.037298178004725686,0.0033512412937245725,798.9378333333334,60
v27,seed0,3,565.9833333333333,13.333333333333334,-2.1153333333333206,1.6904658079147339,0.2751322751322751,52,60,665.6945702285363,2108.824462890625,189,581.432,0.9734299683081312,0.022931887707132274,0.0036381439847365136,577.2013333333334,60
v27,seed0,4,679.45,10.0,-2.066333333333314,1.6579792499542236,0.16226415094339622,43,60,582.3935491669853,2529.7509765625,265,691.5163333333334,0.9825509062451646,0.014460974409377651,0.0029881193454577076,687.3836666666667,60
v27,seed0,5,778.5333333333333,15.0,-2.047833333333316,1.5953627824783325,0.0697211155378486,35,60,424.1676566491564,2447.081787109375,502,795.5811666666666,0.9785718490487143,0.018854141636920767,0.0025740093143649277,791.4855,60
v27,seed0,6,544.0166666666667,4.166666666666667,-1.1591666666666594,1.5754636526107788,0.026054590570719603,21,60,357.8360709765413,2888.11279296875,806,549.3425,0.9903050768266913,0.007584824889147785,0.0021100982841609005,547.0241666666666,60
v27,seed0,7,805.0166666666667,9.166666666666666,-1.812499999999986,1.5567786693572998,0.03419972640218878,25,60,359.8742656238102,3744.47119140625,731,815.9958333333333,0.9865450701852032,0.011233717492430005,0.0022212123223668253,812.3708333333333,60
v27,seed0,8,619.2333333333333,5.0,-1.190999999999992,1.5831985473632812,0.017973856209150325,11,60,420.7905279296676,3410.041748046875,612,625.4243333333334,0.9901011206791336,0.007994572218435162,0.0019043071024312432,623.0423333333333,60
v27,seed0,9,430.51666666666665,1.6666666666666667,-0.8009999999999977,1.5918517112731934,0.006389776357827476,4,60,345.361915637129,2876.79248046875,626,432.9843333333333,0.9943007945630057,0.003849253976086895,0.0018499514609073564,431.38233333333335,60
v27,seed0,10,420.46666666666664,2.5,-0.8866666666666614,1.5908303260803223,0.009708737864077669,6,60,371.83442727493235,3349.19189453125,618,423.8533333333333,0.9920098147157822,0.005898266696026928,0.0020919185881908713,422.08,60
v27,seed0,11,480.4,1.6666666666666667,-0.8484999999999973,1.5459840297698975,0.004784688995215311,3,60,376.1409768160831,2407.983642578125,627,482.91516666666666,0.9947917008197782,0.0034512617985698662,0.0017570373816519131,481.21816666666666,60
v27,seed0,12,415.0,0.8333333333333334,-0.7116666666666643,1.555145025253296,0.009868421052631578,6,60,416.9048427280627,3049.55322265625,608,416.54499999999996,0.9962909169477489,0.002000584170577809,0.0017084988816734432,415.12166666666667,60
