run,iter,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,vanilla_ppo_in_progress,vanilla_ppo_max_x,approx_mean_ep_len,ppo_entropy,reward_forward,reward_completion
v27_seed0,0,676.5354318891253,1499.2469482421875,0.8785714285714286,140,123,60,3267,438.85714285714283,1.7808125019073486,454.1,39.166666666666664
v27_seed0,1,660.2704912224071,1583.1812744140625,0.8120805369127517,149,121,60,3267,412.3489932885906,1.7513010501861572,682.95,35.0
v27_seed0,2,508.85642274759584,1956.8245849609375,0.3432203389830508,236,81,60,3267,260.33898305084745,1.7193636894226074,771.6333333333333,30.0
v27_seed0,3,665.6945702285363,2108.824462890625,0.2751322751322751,189,52,60,3267,325.07936507936506,1.6904658079147339,565.9833333333333,13.333333333333334
v27_seed0,4,582.3935491669853,2529.7509765625,0.16226415094339622,265,43,60,3267,231.8490566037736,1.6579792499542236,679.45,10.0
v27_seed0,5,424.1676566491564,2447.081787109375,0.0697211155378486,502,35,60,3267,122.39043824701196,1.5953627824783325,778.5333333333333,15.0
v27_seed0,6,357.8360709765413,2888.11279296875,0.026054590570719603,806,21,60,3266,76.22828784119106,1.5754636526107788,544.0166666666667,4.166666666666667
v27_seed0,7,359.8742656238102,3744.47119140625,0.03419972640218878,731,25,60,3267,84.04924760601915,1.5567786693572998,805.0166666666667,9.166666666666666
v27_seed0,8,420.7905279296676,3410.041748046875,0.017973856209150325,612,11,60,3266,100.3921568627451,1.5831985473632812,619.2333333333333,5.0
v27_seed0,9,345.361915637129,2876.79248046875,0.006389776357827476,626,4,60,3266,98.14696485623003,1.5918517112731934,430.51666666666665,1.6666666666666667
v27_seed0,10,371.83442727493235,3349.19189453125,0.009708737864077669,618,6,60,3266,99.41747572815534,1.5908303260803223,420.46666666666664,2.5
v27_seed0,11,376.1409768160831,2407.983642578125,0.004784688995215311,627,3,60,3266,97.99043062200957,1.5459840297698975,480.4,1.6666666666666667
v27_seed0,12,416.9048427280627,3049.55322265625,0.009868421052631578,608,6,60,3267,101.05263157894737,1.555145025253296,415.0,0.8333333333333334
v27_seed0,13,445.87658975382,3100.33203125,0.010291595197255575,583,6,60,3267,105.38593481989709,1.510322093963623,372.78333333333336,0.8333333333333334
v27_seed0,14,466.0182988263559,3104.443115234375,0.012681159420289856,552,7,60,3266,111.30434782608695,1.5381015539169312,650.5333333333333,5.0
v27_seed0,15,623.9592782097894,3009.892578125,0.015765765765765764,444,7,60,3266,138.3783783783784,1.492192029953003,649.75,2.5
v27_seed0,16,602.3254984271812,2841.71337890625,0.0196078431372549,459,9,60,3267,133.8562091503268,1.462151050567627,832.4166666666666,6.666666666666667
v27_seed0,17,592.8774505370243,3535.75048828125,0.014989293361884369,467,7,60,3267,131.56316916488223,1.389251470565796,702.4166666666666,4.166666666666667
v27_seed0,18,628.0487462402899,3122.793701171875,0.014767932489451477,474,7,60,3266,129.62025316455697,1.368236780166626,745.9,2.5
v27_seed0,19,692.2307448093281,3104.112060546875,0.023255813953488372,430,10,60,3266,142.88372093023256,1.3462905883789062,673.1333333333333,3.3333333333333335
v27_seed0,20,747.1547364876767,3333.78173828125,0.037333333333333336,375,14,60,3267,163.84,1.3266098499298096,957.9166666666666,6.666666666666667
v27_seed0,21,737.2876233595578,3484.80224609375,0.0374331550802139,374,14,60,3267,164.27807486631016,1.3003720045089722,914.5833333333334,6.666666666666667
v27_seed0,22,849.9947474824716,3633.121337890625,0.034161490683229816,322,11,60,3267,190.80745341614906,1.2503371238708496,761.95,1.6666666666666667
v27_seed0,23,853.8964760541196,3859.731689453125,0.04229607250755287,331,14,60,3267,185.619335347432,1.2443013191223145,1021.4833333333333,6.666666666666667
v27_seed0,24,868.5157820188899,3546.092041015625,0.013927576601671309,359,5,60,3267,171.14206128133705,1.2496849298477173,1072.6166666666666,2.5
v27_seed0,25,828.7769992397508,3917.33154296875,0.02203856749311295,363,8,60,3266,169.25619834710744,1.2234313488006592,1020.4833333333333,4.166666666666667
v27_seed0,26,913.2090670376422,4195.76953125,0.022792022792022793,351,8,60,3266,175.04273504273505,1.2548935413360596,1039.45,3.3333333333333335
v27_seed0,27,1017.3562257918843,4037.8115234375,0.015337423312883436,326,5,60,3266,188.46625766871165,1.2513203620910645,1032.6666666666667,2.5
v27_seed0,28,1017.1942756359393,4158.75244140625,0.019230769230769232,312,6,60,3267,196.92307692307693,1.2473219633102417,1368.9166666666667,4.166666666666667
v27_seed0,29,1083.2953415807583,4154.22314453125,0.05058365758754864,257,13,60,3267,239.06614785992218,1.2225488424301147,1584.5166666666667,8.333333333333334
v27_seed0,30,1105.7128298713712,4072.2109375,0.04059040590405904,271,11,60,3267,226.71586715867159,1.2059698104858398,1387.7666666666667,8.333333333333334
v27_seed0,31,1112.8482207055185,3957.75048828125,0.054901960784313725,255,14,60,3266,240.94117647058823,1.140861988067627,1444.0,10.0
v27_seed0,32,1235.5511024968253,3925.2509765625,0.022813688212927757,263,6,60,3267,233.61216730038024,1.1628953218460083,1107.3166666666666,0.8333333333333334
v27_seed0,33,1223.819729551977,4244.783203125,0.07346938775510205,245,18,60,3267,250.77551020408163,1.1448620557785034,1352.35,7.5
v27_seed0,34,1288.5206522493281,4141.54345703125,0.05555555555555555,234,13,60,3267,262.56410256410254,1.1259524822235107,1481.7,7.5
v27_seed0,35,1351.8016817193281,4085.961669921875,0.07017543859649122,228,16,60,3267,269.4736842105263,1.0525726079940796,1416.6333333333334,8.333333333333334
v27_seed0,36,1368.4106370103302,4243.76708984375,0.08056872037914692,211,17,60,3267,291.18483412322274,1.0580928325653076,1710.55,10.833333333333334
v27_seed0,37,1407.2516069232292,4243.7900390625,0.0660377358490566,212,14,60,3267,289.811320754717,1.0477728843688965,1572.7833333333333,7.5
v27_seed0,38,1407.9009405091751,4156.8134765625,0.09767441860465116,215,21,60,3267,285.7674418604651,0.9815990924835205,1358.8333333333333,10.0
v27_seed0,39,1460.7089291276602,4297.5615234375,0.08866995073891626,203,18,60,3267,302.6600985221675,1.0144853591918945,1594.9833333333333,7.5
v27_seed0,40,1677.4998779296875,4144.822265625,0.13793103448275862,174,24,60,3266,353.1034482758621,0.955450177192688,1524.7833333333333,8.333333333333334
v27_seed0,41,1592.643938455237,4296.5029296875,0.20481927710843373,166,34,60,3267,370.12048192771084,0.9935159683227539,1748.4166666666667,15.0
v27_seed0,42,1379.549716970774,4293.31201171875,0.18994413407821228,179,34,60,3267,343.24022346368713,0.9002273678779602,2079.6666666666665,20.0
