run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,1,78,71,3308.1,662.1,60,1588.0,240.6,59,3.8163,0.0439,15.1022,0.6361,False,0,784,0.97,29,30,0.285,1160,4067,3495
v27,1,79,71,2981.4,534.4,60,2224.1,391.7,55,3.1683,-0.0684,12.9578,0.5536,False,0,784,0.7,21,30,0.287,1180,4108,3546
v27,1,80,77,2955.2,558.9,60,1951.3,306.7,56,4.0142,0.0391,15.9127,0.6343,False,0,784,0.73,22,30,0.291,1208,4154,3586
v27,1,81,97,2347.1,419.2,60,2057.7,346.3,54,6.9998,-0.0608,28.2544,0.6014,False,0,784,0.7,21,30,0.292,1227,4195,3632
v27,1,82,87,2588.6,464.4,60,2054.6,350.6,56,5.31,-0.0128,21.3027,0.567,False,0,784,0.47,14,30,0.296,1258,4251,3671
v27,1,83,78,2946.9,536.0,60,1958.4,327.2,58,4.209,0.0214,16.7612,0.5405,False,0,784,0.6,18,30,0.3,1290,4304,3710
v27,1,84,81,2840.9,516.5,60,2071.3,326.7,57,5.7823,0.0464,22.954,0.5257,False,0,784,0.67,20,30,0.303,1317,4347,3752
v27,1,85,79,2793.4,500.9,60,2171.4,364.5,57,4.4692,-0.116,18.3511,0.5142,False,0,784,0.67,20,30,0.306,1344,4394,3794
v27,1,86,78,2882.1,508.6,60,2193.7,362.9,57,5.5101,0.0506,21.8487,0.5245,False,0,784,0.67,20,30,0.309,1371,4443,3834
v27,1,87,78,2807.5,502.4,60,2160.2,370.9,56,5.3805,0.0461,21.3475,0.4956,False,0,784,0.63,19,30,0.311,1398,4490,3872
v27,1,88,80,2770.5,505.4,60,2111.2,350.2,57,5.3292,-0.0053,21.3479,0.4958,False,0,784,0.63,19,30,0.314,1427,4543,3912
v27,1,89,93,2401.5,416.6,60,2127.0,378.3,55,5.1433,-0.0102,20.6231,0.4625,False,0,784,0.63,19,30,0.316,1453,4599,3952
v27,1,90,97,2474.3,420.4,60,2067.6,344.3,56,7.4005,-0.0107,29.6545,0.4746,False,0,784,0.43,13,30,0.318,1485,4663,3988
v27,1,91,88,2671.6,470.6,60,2023.9,333.8,55,6.2842,0.0677,24.8752,0.4629,False,0,784,0.57,17,30,0.322,1522,4728,4025
v27,1,92,88,2710.9,492.9,60,1869.4,301.0,58,4.8999,-0.0515,19.8151,0.4836,False,0,784,0.77,23,30,0.324,1550,4787,4067
v27,1,93,90,2713.9,469.7,60,2059.7,319.4,53,3.4561,-0.0688,14.1084,0.4419,False,0,784,0.8,24,30,0.325,1573,4840,4110
v27,1,94,87,2636.6,467.2,60,2130.4,346.5,57,3.585,-0.0684,14.6221,0.4382,False,0,784,0.77,23,30,0.326,1595,4887,4154
v27,1,95,91,2518.6,446.7,60,2023.0,346.5,49,4.5765,-0.0527,18.5239,0.3752,False,0,784,0.5,15,30,0.329,1625,4945,4194
v27,1,96,85,2764.3,496.3,60,1888.0,320.9,56,6.2877,0.1065,24.7336,0.4581,False,0,784,0.5,15,30,0.332,1657,4993,4238
v27,1,97,84,2634.6,463.6,60,2131.0,375.0,58,4.7137,-0.0312,18.987,0.3812,False,0,784,0.6,18,30,0.334,1683,5044,4281
v27,1,98,85,2447.2,428.9,60,2325.9,416.4,56,6.8912,0.1035,27.159,0.4282,False,0,784,0.67,20,30,0.335,1704,5093,4318
v27,1,99,115,2100.2,362.7,60,2032.6,328.9,52,5.6245,-0.1203,22.9865,0.371,False,0,784,0.5,15,30,0.336,1735,5165,4353
v27,1,100,95,2537.7,442.5,60,1925.6,323.4,54,4.9798,-0.0626,20.1769,0.3851,False,0,784,0.6,18,30,0.338,1766,5225,4392
v27,1,101,106,2338.2,390.0,60,2117.7,335.0,54,5.5533,0.0002,22.2196,0.3756,False,0,784,0.6,18,30,0.339,1791,5288,4435
v27,1,102,99,2255.6,366.2,60,2250.9,419.8,52,6.9865,-0.0452,28.1342,0.3801,False,0,784,0.5,15,30,0.338,1811,5353,4473
v27,1,103,98,2529.1,424.0,60,2084.3,331.5,54,6.3842,0.0346,25.4056,0.3636,False,0,784,0.6,18,30,0.339,1837,5413,4507
v27,1,104,89,2537.9,442.2,60,2170.2,368.1,52,6.1594,0.0182,24.5714,0.337,False,0,784,0.57,17,30,0.341,1862,5465,4547
v27,1,105,115,2083.1,342.8,60,1929.0,367.0,48,6.3767,-0.0222,25.6023,0.3432,False,0,784,0.43,13,30,0.34,1885,5538,4588
v27,1,106,97,2383.0,412.5,60,2155.3,357.1,55,6.5194,0.0155,26.0227,0.3461,False,0,784,0.63,19,30,0.341,1907,5588,4628
