run,peak_iter,honest_peak,honest_final,vloss_first10_mean,vloss_at_peak_mean,vloss_at_final_mean,vloss_global_min,vloss_global_min_iter,vloss_global_max,vloss_global_max_iter,ent_at_peak_mean,ent_at_final_mean
v27_seed0,60,0.04,0.02,32.722632458335475,30.01002082824707,26.169271850585936,17.266883850097656,0,56.97434997558594,28,0.6479257464408874,0.07768220454454422
v27_seed1,50,0.29,0.02,28.115632508930407,26.689676666259764,37.92317237854004,12.957813262939453,79,60.11682891845703,21,0.9346302390098572,0.07510866224765778
v27_seed2,90,0.53,0.0,30.840482812178763,15.69731845855713,32.43088722229004,9.995599746704102,113,53.85664367675781,25,0.5139238119125367,0.09719569832086564
v27_seed3,60,0.17,0.01,30.0084968366121,17.205442428588867,31.80473403930664,13.31263542175293,64,58.06053924560547,23,0.7142732620239258,0.07952689751982689
v28_seed0,70,0.45,0.0,29.209248743559186,20.828558349609374,22.271688842773436,11.165546417236328,81,55.39060974121094,26,0.7180656552314758,0.09292669445276261
v28_seed1,60,0.23,0.05,30.318388487163343,13.939733695983886,35.10519866943359,9.643087387084961,66,64.04052734375,156,0.7124932050704956,0.07956373691558838
v28_seed2,120,0.37,0.0,31.300955822593288,23.302946472167967,26.3153076171875,13.0662260055542,62,61.12494659423828,145,0.30289979577064513,0.13928998112678528
v28_seed3,90,0.67,0.0,28.97875730614913,16.826957130432127,27.440015029907226,10.094205856323242,80,52.21849822998047,174,0.4535447895526886,0.05663469061255455
