run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,131,1168.1992519177888,4196.7529296875,0.10526315789473684,190,20,323.36842105263156,0.1877593994140625
v27_seed0,132,1187.1858110842497,4205.02392578125,0.07608695652173914,184,14,333.9130434782609,0.17920541763305664
v27_seed0,133,1199.0842775617327,4197.9248046875,0.07692307692307693,182,14,337.5824175824176,0.17510831356048584
v27_seed0,134,1175.2677133733575,3718.75048828125,0.12337662337662338,154,19,398.961038961039,0.1425848752260208
v27_seed0,135,1173.7106771804579,4120.76953125,0.05025125628140704,199,10,308.7437185929648,0.16822543740272522
v27_seed0,136,1109.7168976268129,4149.28271484375,0.05263157894736842,209,11,293.9712918660287,0.11061994731426239
v27_seed0,137,1049.233965481029,4311.470703125,0.029411764705882353,204,6,301.1764705882353,0.11693505942821503
v27_seed0,138,1004.4921691354397,3622.31298828125,0.04424778761061947,226,10,271.85840707964604,0.13514885306358337
v27_seed0,139,1201.0176699907352,4149.35302734375,0.08717948717948718,195,17,315.0769230769231,0.14972886443138123
v27_seed0,140,1181.5510493997149,4116.03662109375,0.04265402843601896,211,9,291.18483412322274,0.17250555753707886
v27_seed0,141,1203.2859706235736,4287.32177734375,0.10112359550561797,178,18,345.1685393258427,0.13122913241386414
v27_seed0,142,1062.296726059332,4276.921875,0.03902439024390244,205,8,299.7073170731707,0.13722312450408936
v27_seed0,143,1239.2519013070819,4178.8662109375,0.05583756345177665,197,11,311.8781725888325,0.14510953426361084
v27_seed0,144,1036.0186613144413,3555.75048828125,0.03225806451612903,248,8,247.74193548387098,0.12653115391731262
v27_seed0,145,1068.3225388299852,4072.171875,0.031746031746031744,189,6,325.07936507936506,0.13178402185440063
v27_seed0,146,945.4922219016336,3750.750732421875,0.045454545454545456,110,5,558.5454545454545,0.12755531072616577
v27_seed0,147,972.9601178850446,3185.864501953125,0.007518796992481203,133,1,461.9548872180451,0.1732512265443802
v27_seed0,148,1018.5506193099484,3779.75048828125,0.03870967741935484,155,6,396.38709677419354,0.16652153432369232
v27_seed0,149,1042.9137017034716,3918.75048828125,0.04516129032258064,155,7,396.38709677419354,0.16221609711647034
v27_seed0,150,1158.3583045153885,3756.75048828125,0.049689440993788817,161,8,381.6149068322981,0.15061883628368378
v27_seed0,151,1109.835489622304,3781.201904296875,0.07042253521126761,142,10,432.67605633802816,0.20311474800109863
v27_seed0,152,1049.7634440771217,3620.741455078125,0.03278688524590164,183,6,335.73770491803276,0.1563577651977539
v27_seed0,153,1064.5063898598276,3587.75048828125,0.04390243902439024,205,9,299.7073170731707,0.14466990530490875
v27_seed0,154,1155.711633172959,3644.551513671875,0.02617801047120419,191,5,321.67539267015707,0.16434958577156067
v27_seed0,155,1046.5474806509876,3913.69140625,0.03317535545023697,211,7,291.18483412322274,0.14794155955314636
v27_seed0,156,1065.3042187526307,3780.91162109375,0.017241379310344827,232,4,264.82758620689657,0.12968021631240845
v27_seed0,157,1135.4254511860968,3660.19091796875,0.02912621359223301,206,6,298.252427184466,0.17136865854263306
v27_seed0,158,1165.166722288226,3619.75048828125,0.034653465346534656,202,7,304.15841584158414,0.14908717572689056
v27_seed0,159,1125.5033741551317,3716.75048828125,0.012448132780082987,241,3,254.9377593360996,0.118309885263443
v27_seed0,160,1181.2945433450402,3620.75048828125,0.027522935779816515,218,6,281.8348623853211,0.13397768139839172
v27_seed0,161,1114.0389124172837,3734.4326171875,0.03980099502487562,201,8,305.67164179104475,0.12932538986206055
v27_seed0,162,1177.5259365325278,3758.75048828125,0.03723404255319149,188,7,326.8085106382979,0.11523844301700592
v27_seed0,163,1053.0173487428758,4006.750732421875,0.0273224043715847,183,5,335.73770491803276,0.11798742413520813
v27_seed0,164,1108.2493173747719,3443.43115234375,0.041916167664670656,167,7,367.90419161676647,0.09583074599504471
v27_seed0,165,1202.1227852183686,3779.75048828125,0.047337278106508875,169,8,363.55029585798815,0.09562019258737564
v27_seed0,166,1120.3473541259766,3555.75048828125,0.00909090909090909,220,2,279.27272727272725,0.1187768280506134
v27_seed0,167,1178.1357274349266,3620.75048828125,0.023696682464454975,211,5,291.18483412322274,0.11760279536247253
v27_seed0,168,1203.9144117665846,3619.75048828125,0.03488372093023256,172,6,357.2093023255814,0.18100880086421967
v27_seed0,169,1165.840068384544,3920.75048828125,0.041237113402061855,194,8,316.70103092783506,0.1311977207660675
v27_seed0,170,1075.0289981050312,3652.75048828125,0.03773584905660377,212,8,289.811320754717,0.1742001622915268
v27_seed0,171,1149.4931433839224,3749.65234375,0.060109289617486336,183,11,335.73770491803276,0.09320582449436188
v27_seed0,172,1229.3943628132015,4452.20068359375,0.022099447513812154,181,4,339.4475138121547,0.11757367849349976
v27_seed0,173,1223.2518079869888,4361.12841796875,0.03529411764705882,170,6,361.4117647058824,0.09750679135322571
v27_seed0,174,1125.7253481547039,3782.761474609375,0.05357142857142857,168,9,365.7142857142857,0.10015296190977097
