path,name,bytes,md5,mapper,sub_mapper,nes20,status,frames_run,wall_ms,error,motion,static_distinct_hashes,static_first_change_frame
roms/Action 52 (USA) (Rev A) (Unl).nes,Action 52 (USA) (Rev A) (Unl).nes,2097168,fb292af0e15cc20298dbce5caa40d075,228,0,False,ok,300,4379.2463329155,,live,97,33
roms/Cheetahmen II (USA) (Unl).nes,Cheetahmen II (USA) (Unl).nes,393232,d513689940c7b656bbac18d76a35b37e,228,0,False,ok,300,4440.344667062163,,live,99,29
roms/Jackal (USA).nes,Jackal (USA).nes,131088,c6c17bf18a51718859f9bd6aacb7ef58,2,0,False,ok,300,3314.9523329921067,,static,1,
roms/Nintendo World Championships 1990 (USA).nes,Nintendo World Championships 1990 (USA).nes,262160,f36cb0729741f92698d42e19f69e690e,105,0,False,ok,300,2885.2794589474797,,static,1,
roms/Super Mario Bros. + Tetris + Nintendo World Cup (Europe) (Rev A).nes,Super Mario Bros. + Tetris + Nintendo World Cup (Europe) (Rev A).nes,524304,690ef25921a067c03218e473c3ba05f6,37,0,False,ok,300,3017.5533751025796,,static,1,
